Date,Close_file1,Close_file2,Close_file3,Close_file4,Close_file5,Close_file6,Close_file7,Close_file8,Close_file9
2023-01-30,17546.0,14380.0,65400.0,6549.0,181336.0,20362.0,7.7,31849.0,22833.0
2023-01-31,17323.0,14687.0,66457.0,6445.0,179175.0,19731.0,7.75,31328.0,22517.0
2023-02-01,18254.0,14380.0,66405.0,6598.0,181919.0,19638.0,7.8,31558.0,23420.0
2023-02-02,18050.0,14523.0,64910.0,6553.0,182115.0,19366.0,7.806,31047.0,23748.0
2023-02-03,17950.0,14397.0,65749.0,6590.0,182854.0,19202.0,7.74,30770.0,23475.0
2023-02-06,17900.0,14545.0,66228.0,6477.0,181731.0,19050.0,7.566,30507.0,23319.0
2023-02-07,17972.0,14488.0,65279.0,6489.0,177708.0,19582.0,7.61,28395.0,23140.0
2023-02-08,17953.0,14367.0,66100.0,6465.0,177485.0,19602.0,7.612,29379.0,23163.0
2023-02-09,18094.0,14427.0,64500.0,6495.0,177935.0,19242.0,7.676,29479.0,23205.0
2023-02-10,17750.0,14283.0,66100.0,6426.0,174226.0,18876.0,7.63,29866.0,22823.0
2023-02-13,17783.0,14282.0,66940.0,6481.0,177165.0,18912.0,7.78,29763.0,22915.0
2023-02-14,17797.0,14444.0,67529.0,6554.0,178350.0,18697.0,7.682,29958.0,22988.0
2023-02-15,17545.0,14573.0,68419.0,6470.0,178932.0,18090.0,7.674,29761.0,22917.0
2023-02-16,17387.0,14493.0,68064.0,6481.0,177535.0,18232.0,7.67,30561.0,22916.0
2023-02-17,17379.0,14406.0,68168.0,6458.0,179187.0,18218.0,7.48,29570.0,23086.0
2023-02-20,17518.0,14380.0,69329.0,6493.0,179291.0,18400.0,7.48,29500.0,23106.0
2023-02-21,17725.0,14451.0,69777.0,6505.0,179492.0,18377.0,7.038,27944.0,22978.0
2023-02-22,18413.0,14334.0,69457.0,6539.0,179380.0,17530.0,7.08,26768.0,23453.0
2023-02-23,18686.0,14518.0,69862.0,6752.0,180000.0,16916.0,7.08,27100.0,23738.0
2023-02-24,18107.0,14166.0,70497.0,6511.0,175862.0,16382.0,6.812,26597.0,23008.0
2023-02-27,18200.0,14210.0,70900.0,6523.0,173750.0,16670.0,6.98,26409.0,23079.0
2023-02-28,18358.0,14481.0,70092.0,6555.0,175451.0,16679.0,7.08,27034.0,23058.0
2023-03-01,18569.0,14509.0,68689.0,6683.0,176223.0,16792.0,7.436,27134.0,23374.0
2023-03-02,18320.0,14323.0,68454.0,6689.0,174150.0,16735.0,7.298,26944.0,22923.0
